,open,high,low,close,vol
2010-05-13,40.185,41.505,40.11,41.215,56991
2010-05-14,40.88,41.355,40.155,40.395,101480
2010-05-17,40.05,41.51,40.05,40.62,98469
2010-05-18,41.24,42.085,40.905,41.85,73498
2010-05-19,41.25,41.75,39.87,40.825,63344
2010-05-20,40.5,40.59,37.455,38.085,120383
2010-05-21,38.085,39.05,37.155,38.86,63613
2010-05-24,39.05,39.05,37.415,38.555,18088
2010-05-25,37.1,37.495,36.73,37.2,48536
2010-05-26,37.55,38.785,37.55,38.575,37114
2010-05-27,38.55,40.1,38.55,39.965,64083
2010-05-28,40.5,40.7,39.965,40.02,42165
2010-05-31,40.335,41.055,40.32,40.91,48107
2010-06-01,40.455,41.45,40.03,40.905,36794
2010-06-02,40.7,41.02,39.96,40.935,37166
2010-06-03,41.5,41.95,40.94,41.26,33435
2010-06-04,41.6,41.615,39.865,39.935,44416
2010-06-07,39.3,40.58,39.2,40.18,39712
2010-06-08,40.2,40.355,39.515,40.075,20835
2010-06-09,40.52,42.06,40.455,41.73,49601
2010-06-10,41.75,43.655,41.73,42.95,149709
2010-06-11,43.35,43.835,42.14,42.835,59295
2010-06-14,43.2,43.28,42.38,42.52,43391
2010-06-15,42.05,42.67,41.79,42.435,23385
2010-06-16,42.48,42.5,40.8,41.265,65654
2010-06-17,41.205,42.435,40.985,42.26,29369
2010-06-18,42.405,43.355,42.405,43.175,60435
2010-06-21,44.0,44.78,43.9,44.4,105367
2010-06-22,44.2,44.48,43.75,44.315,57545
2010-06-23,44.21,44.625,43.905,44.15,31689
2010-06-24,44.35,44.65,43.295,43.65,36595
2010-06-25,42.95,42.95,41.77,42.19,50224
2010-06-28,42.2,43.32,42.0,43.13,65363
2010-06-29,42.57,42.57,41.095,41.4,63690
2010-06-30,41.705,42.48,41.34,41.935,33144
2010-07-01,41.395,41.635,40.195,40.825,100201
2010-07-02,41.25,41.48,40.2,40.33,65675
2010-07-05,40.55,40.845,39.85,39.97,45798
2010-07-06,40.3,41.91,40.195,41.05,36760
2010-07-07,41.15,41.95,40.575,41.94,30439
2010-07-08,42.1,42.1,41.2,41.54,27875
2010-07-09,41.8,41.91,41.45,41.685,23149
2010-07-12,41.8,41.885,41.4,41.815,13852
2010-07-13,41.5,43.765,41.5,43.58,61119
2010-07-14,44.0,44.42,43.07,43.54,42094
2010-07-15,43.605,44.35,42.85,43.28,57836
2010-07-16,43.15,44.5,42.965,43.01,46161
2010-07-19,43.22,43.22,42.225,42.51,36131
2010-07-20,42.84,42.84,41.33,41.635,54862
2010-07-21,41.8,42.04,40.81,41.275,39833
2010-07-22,40.85,42.39,40.81,42.1,35064
2010-07-23,42.1,42.825,41.8,42.555,21879
2010-07-26,42.9,43.19,42.4,43.16,26617
2010-07-27,43.25,43.25,40.85,41.78,116192
2010-07-28,41.9,41.95,41.235,41.24,82981
2010-07-29,41.65,42.09,41.16,41.445,38603
2010-07-30,41.33,41.63,40.83,41.15,33992
2010-08-02,41.25,41.565,40.69,41.385,47786
2010-08-03,41.4,42.0,41.4,41.8,37630
2010-08-04,41.9,42.0,41.5,41.755,15613
2010-08-05,41.7,42.39,41.6,42.045,30675
2010-08-06,42.27,42.74,40.85,41.3,44662
2010-08-09,41.5,42.0,41.265,41.905,22089
2010-08-10,41.9,41.9,40.865,41.27,25859
2010-08-11,40.91,40.91,39.95,40.27,71825
2010-08-12,40.05,40.395,38.61,39.2,130352
2010-08-13,39.6,39.895,38.905,39.245,49375
2010-08-16,39.48,40.105,39.25,40.095,41571
2010-08-17,40.295,41.1,40.27,41.055,42185
2010-08-18,40.92,41.025,40.54,40.685,19072
2010-08-19,40.885,41.2,39.665,39.835,55921
2010-08-20,39.825,39.885,39.15,39.22,28188
2010-08-23,39.25,39.455,38.965,39.15,43375
2010-08-24,39.0,39.03,38.175,38.585,41207
2010-08-25,38.4,38.755,37.79,38.405,54334
2010-08-26,38.6,38.6,37.865,38.005,36695
2010-08-27,38.05,38.41,37.64,38.405,27085
2010-08-30,38.64,38.795,37.9,38.0,20517
2010-08-31,37.59,38.41,37.03,38.365,36653
2010-09-01,38.555,40.475,38.395,40.25,55765
2010-09-02,40.25,41.37,40.25,40.87,48468
2010-09-03,40.92,42.2,40.92,41.675,81705
2010-09-06,41.74,41.74,41.115,41.215,22441
2010-09-07,41.01,41.34,40.71,41.14,20346
2010-09-08,41.1,42.055,41.1,41.83,31902
2010-09-09,41.8,43.135,41.8,42.77,110047
2010-09-10,42.915,44.02,42.915,43.585,159477
2010-09-13,44.35,44.62,43.435,43.55,82616
2010-09-14,43.5,44.155,43.5,43.915,45340
2010-09-15,44.05,44.48,43.965,44.09,35845
2010-09-16,43.83,44.215,43.66,43.94,31220
2010-09-17,44.2,44.7,43.65,44.415,90818
2010-09-20,44.45,45.49,44.41,45.295,110189
2010-09-21,45.295,45.89,45.295,45.365,74951
2010-09-22,45.14,45.14,44.37,44.7,35283
2010-09-23,44.7,45.04,43.795,44.21,52661
2010-09-24,44.0,46.145,44.0,45.92,85837
2010-09-27,46.0,46.66,45.99,46.48,70665
2010-09-28,46.15,46.605,45.565,46.07,106370
2010-09-29,46.3,46.825,46.04,46.39,25384
2010-09-30,46.0,47.56,45.98,46.435,56025
2010-10-01,46.3,46.85,45.185,45.295,41242
2010-10-04,45.145,45.165,43.57,43.69,43082
2010-10-05,43.9,44.955,43.67,44.955,25699
2010-10-06,45.2,45.2,44.06,44.11,24389
2010-10-07,44.3,45.465,44.3,45.055,33322
2010-10-08,45.15,45.6,44.685,45.25,20666
2010-10-11,45.61,46.27,45.47,45.86,35897
2010-10-12,45.95,47.71,45.66,47.2,83670
2010-10-13,47.7,48.18,47.25,47.995,64417
2010-10-14,47.975,48.015,47.17,47.21,48626
2010-10-15,47.5,48.1,47.195,47.63,39039
2010-10-18,47.73,48.05,47.27,47.72,25056
2010-10-19,47.9,47.9,46.875,47.05,42272
2010-10-20,46.75,47.86,46.7,47.85,35784
2010-10-21,47.665,49.08,47.665,48.505,81578
2010-10-22,48.8,49.46,48.695,49.33,40489
2010-10-25,49.6,49.995,49.45,49.64,75144
2010-10-26,49.25,49.495,48.31,48.67,47061
2010-10-27,48.4,49.025,47.5,47.96,62245
2010-10-28,48.4,49.0,46.73,46.88,100447
2010-10-29,46.89,47.65,46.37,47.595,65460
2010-11-01,48.09,48.35,47.435,47.535,27463
2010-11-02,47.6,48.61,47.365,48.35,26648
2010-11-03,48.35,49.145,48.13,48.53,30347
2010-11-04,49.0,50.1,48.945,49.85,108570
2010-11-05,50.08,50.45,48.895,49.245,76981
2010-11-08,49.245,49.245,48.52,49.04,30070
2010-11-09,49.0,50.25,48.785,49.95,47078
2010-11-10,49.8,49.88,48.72,49.24,37825
2010-11-11,49.55,49.705,49.0,49.52,26207
2010-11-12,49.275,50.2,48.05,49.625,66681
2010-11-15,49.35,51.36,49.295,50.83,84627
2010-11-16,50.5,50.88,49.38,49.565,50251
2010-11-17,49.35,49.645,48.98,49.345,38814
2010-11-18,49.77,50.95,49.77,50.68,52258
2010-11-19,50.76,50.95,50.2,50.57,39626
2010-11-22,50.85,51.52,50.17,50.34,65838
2010-11-23,50.2,51.2,49.535,49.885,58207
2010-11-24,50.19,51.99,49.775,51.99,83773
2010-11-25,51.95,52.61,51.55,51.94,85083
2010-11-26,51.35,51.85,50.65,51.33,31211
2010-11-29,51.9,52.02,49.8,50.01,68023
2010-11-30,50.15,50.93,49.015,50.2,56391
2010-12-01,50.51,52.0,50.15,51.91,71563
2010-12-02,52.32,53.61,51.94,53.31,137946
2010-12-03,52.95,54.75,52.77,53.9,86106
2010-12-06,53.93,54.14,53.41,53.65,43692
2010-12-07,53.7,54.34,52.68,54.19,58856
2010-12-08,53.8,54.03,53.0,53.5,58443
2010-12-09,53.35,54.07,52.19,53.46,48744
2010-12-10,53.4,54.92,53.4,54.8,65267
2010-12-13,54.9,54.99,54.47,54.73,34301
2010-12-14,54.45,54.67,53.74,54.23,35788
2010-12-15,53.85,54.16,53.18,54.01,30284
2010-12-16,53.6,54.52,53.6,54.31,23700
2010-12-17,54.04,54.44,53.59,53.85,27591
2010-12-20,53.7,54.49,53.7,53.92,33159
2010-12-21,53.99,54.92,53.99,54.6,37002
2010-12-22,54.6,54.99,54.34,54.44,48464
2010-12-23,54.32,54.5,54.07,54.11,13538
2010-12-27,53.45,53.45,51.43,51.56,85538
2010-12-28,51.7,51.75,51.04,51.56,30819
2010-12-29,51.6,51.62,51.25,51.41,14497
2010-12-30,51.4,51.69,50.65,50.92,21063
2011-01-03,50.77,52.01,50.76,51.85,32544
2011-01-04,51.87,52.23,51.1,51.96,27507
2011-01-05,51.75,54.0,51.35,53.51,56338
2011-01-06,53.4,55.42,53.4,54.44,86554
2011-01-07,54.4,55.8,54.25,54.63,82453
2011-01-10,54.32,55.11,53.88,54.22,53331
2011-01-11,53.85,55.1,53.59,54.9,63314
2011-01-12,55.15,55.92,54.69,54.94,43208
2011-01-13,54.67,55.05,54.27,54.82,33155
2011-01-14,54.25,56.52,54.25,55.69,82097
2011-01-17,55.85,57.14,55.8,57.14,67739
2011-01-18,57.62,59.03,57.62,58.47,88163
2011-01-19,58.46,58.51,57.03,57.1,58423
2011-01-20,57.0,57.01,54.54,55.62,84569
2011-01-21,55.9,56.27,54.74,54.88,45413
2011-01-24,55.0,55.0,53.37,54.64,74469
2011-01-25,54.6,56.01,54.14,55.26,21572
2011-01-26,55.26,56.52,55.26,56.28,27662
2011-01-27,56.2,57.11,55.7,56.07,31512
2011-01-28,56.2,56.38,54.44,54.52,46480
2011-01-31,54.35,54.35,52.97,53.6,83562
2011-02-01,54.0,54.14,53.06,53.54,29869
2011-02-02,54.4,54.41,52.21,52.59,72497
2011-02-03,52.9,53.18,51.29,53.13,83985
2011-02-04,53.09,53.42,52.3,52.76,36512
2011-02-07,52.55,53.82,52.45,53.71,50686
2011-02-08,54.0,55.44,53.88,55.2,63637
2011-02-09,55.3,55.74,54.67,55.04,31000
2011-02-10,54.9,55.6,54.69,55.55,29069
2011-02-11,55.28,56.77,54.9,56.53,42246
2011-02-14,56.96,57.2,56.52,56.87,54492
2011-02-15,56.44,56.8,55.76,56.14,39257
2011-02-16,56.12,56.52,53.57,53.86,284494
2011-02-17,54.15,54.15,51.94,53.14,195075
2011-02-18,53.2,53.2,52.08,52.69,59092
2011-02-21,52.85,53.49,52.01,52.15,59291
2011-02-22,51.97,53.28,51.91,52.63,56903
2011-02-23,52.95,53.02,51.01,51.13,92863
2011-02-24,51.0,51.0,49.665,50.22,133999
2011-02-25,51.07,51.5,50.76,51.4,68476
2011-02-28,51.34,51.38,50.66,51.05,55407
2011-03-01,51.51,52.39,50.69,50.91,74211
2011-03-02,50.42,50.42,48.875,49.54,133816
2011-03-03,50.3,50.3,49.025,49.66,65790
2011-03-04,49.685,50.03,47.805,48.015,139486
2011-03-07,47.7,49.265,46.985,48.405,82256
2011-03-08,48.9,49.905,48.53,49.52,47786
2011-03-09,49.8,50.34,49.48,49.96,63231
2011-03-10,49.315,49.435,48.39,48.45,39410
2011-03-11,48.5,48.62,47.595,47.825,62731
2011-03-14,46.5,47.8,46.42,47.115,125440
2011-03-15,44.71,45.715,43.69,45.105,246316
2011-03-16,45.6,46.185,43.4,44.09,162440
2011-03-17,44.45,45.745,44.43,45.01,129232
2011-03-18,45.75,46.69,44.995,45.835,77097
2011-03-21,47.18,47.18,46.165,47.09,138005
2011-03-22,47.1,47.1,46.275,46.455,50315
2011-03-23,46.3,47.45,46.085,47.45,28005
2011-03-24,47.285,49.24,47.235,49.115,52698
2011-03-25,49.86,49.86,48.735,48.9,39615
2011-03-28,48.8,48.85,47.82,48.265,61380
2011-03-29,48.5,48.73,47.67,48.35,39789
2011-03-30,49.0,50.05,48.96,49.865,60187
2011-03-31,49.915,50.13,49.595,50.0,30572
2011-04-01,50.3,51.66,50.16,51.52,49318
2011-04-04,51.92,51.94,51.49,51.49,76129
2011-04-05,51.79,52.56,51.64,52.5,49079
2011-04-06,52.75,52.95,52.54,52.68,31297
2011-04-07,52.44,52.83,51.94,52.29,37273
2011-04-08,52.6,52.6,51.85,52.21,26777
2011-04-11,51.25,51.25,50.29,50.58,103275
2011-04-12,50.2,50.65,49.895,50.56,45495
2011-04-13,50.75,51.11,50.4,50.97,49511
2011-04-14,49.65,50.2,49.52,49.985,40147
2011-04-15,50.05,50.22,49.4,49.55,24539
2011-04-18,49.365,49.88,48.365,48.545,41281
2011-04-19,48.785,49.62,48.785,49.3,26787
2011-04-20,49.84,51.4,49.84,51.01,60100
2011-04-21,51.5,51.5,50.63,51.14,25468
2011-04-26,51.1,52.12,50.88,51.9,45628
2011-04-27,52.1,53.67,52.1,52.99,85433
2011-04-28,53.4,53.4,52.26,53.0,48242
2011-04-29,52.22,52.54,51.73,51.97,69066
2011-05-02,52.5,53.02,52.18,52.19,62287
2011-05-03,52.24,52.24,51.07,51.4,31438
2011-05-04,51.03,52.33,50.52,50.81,27636
2011-05-05,51.0,51.01,49.465,50.75,117928
2011-05-06,50.48,51.76,50.33,50.85,43535
2011-05-09,51.1,51.39,50.25,50.82,46162
2011-05-10,51.0,51.6,50.8,51.09,29725
2011-05-11,50.96,51.44,50.41,50.47,25233
2011-05-12,50.35,51.05,49.965,51.04,33440
2011-05-13,51.39,51.39,50.34,50.5,36289
2011-05-16,49.855,50.22,49.33,49.84,53710
2011-05-17,49.7,49.785,48.95,49.345,54182
2011-05-18,49.41,49.61,49.025,49.435,27442
2011-05-19,49.54,50.35,49.425,49.95,24122
2011-05-20,49.9,50.12,48.46,48.995,36358
2011-05-23,47.8,48.045,47.2,47.365,56174
2011-05-24,47.295,48.485,47.295,47.795,40533
2011-05-25,47.335,48.29,47.15,48.2,32030
2011-05-26,48.535,48.685,47.57,48.11,24662
2011-05-27,48.28,48.535,47.6,48.025,20442
2011-05-30,48.135,48.565,47.965,48.1,20440
2011-05-31,48.5,49.52,48.5,49.17,34935
2011-06-01,49.495,49.51,48.205,48.215,15705
2011-06-02,47.905,48.09,47.275,47.545,13741
2011-06-03,47.5,48.0,46.92,47.66,26353
2011-06-06,47.4,47.7,47.0,47.055,28744
2011-06-07,47.105,47.565,46.735,47.135,18495
2011-06-08,47.04,47.295,46.33,47.2,34191
2011-06-09,47.28,47.82,46.825,47.755,22643
2011-06-10,47.555,47.785,46.34,46.475,30297
2011-06-13,46.5,46.83,46.095,46.6,18843
2011-06-14,46.7,47.465,46.7,47.13,27315
2011-06-15,47.185,47.29,46.28,46.3,26053
2011-06-16,46.3,47.0,45.915,46.795,34526
2011-06-17,46.66,47.86,46.23,47.41,45158
2011-06-20,47.165,47.685,46.575,47.55,38118
2011-06-21,47.495,48.7,47.495,48.355,47664
2011-06-22,48.7,49.2,48.535,48.9,49840
2011-06-23,48.59,49.06,48.49,48.835,34422
2011-06-24,49.0,50.29,48.9,49.03,55570
2011-06-27,48.84,49.535,48.61,49.255,26969
2011-06-28,49.5,50.71,49.395,50.42,39111
2011-06-29,50.46,51.61,50.46,51.27,52622
2011-06-30,51.48,51.91,50.93,51.69,45897
2011-07-01,51.63,52.06,51.34,51.66,20496
2011-07-04,51.75,52.31,51.42,52.15,43355
2011-07-05,52.09,53.03,52.05,52.85,70292
2011-07-06,52.72,53.21,52.25,52.96,43211
2011-07-07,53.0,53.61,52.59,52.88,52776
2011-07-08,52.75,53.54,52.09,52.38,60952
2011-07-11,52.1,52.1,50.56,50.77,79979
2011-07-12,50.48,51.86,49.25,51.65,94490
2011-07-13,51.8,53.39,51.53,53.05,60459
2011-07-14,52.88,53.8,52.7,52.95,81368
2011-07-15,52.82,53.9,52.71,53.13,73668
2011-07-18,53.0,53.0,51.21,51.48,51639
2011-07-19,51.65,52.67,51.45,52.57,20680
2011-07-20,52.61,53.0,51.96,52.54,18981
2011-07-21,52.4,52.7,51.01,52.36,30656
2011-07-22,52.4,53.0,51.95,52.48,23896
2011-07-25,51.88,53.32,51.81,53.09,39036
2011-07-26,53.0,53.19,51.58,51.77,40694
2011-07-27,51.71,51.98,50.53,50.83,71526
2011-07-28,50.5,51.27,50.2,51.0,41321
2011-07-29,50.15,51.13,49.98,50.33,37122
2011-08-01,51.53,52.0,48.85,49.2,82244
2011-08-02,49.255,49.465,46.88,47.1,75499
2011-08-03,46.385,47.06,44.63,45.855,173166
2011-08-04,45.9,46.52,43.27,43.6,114947
2011-08-05,42.0,44.0,40.715,42.86,264737
2011-08-08,40.38,42.5,38.5,38.585,246051
2011-08-09,37.95,40.225,35.865,38.88,341731
2011-08-10,41.0,41.895,36.3,37.595,353487
2011-08-11,37.1,38.35,35.345,38.25,138303
2011-08-12,38.25,39.195,36.66,39.175,147407
2011-08-15,39.8,39.87,38.2,38.77,104632
2011-08-16,38.75,38.75,36.44,37.74,97113
2011-08-17,37.955,38.555,37.295,37.655,56769
2011-08-18,37.695,37.695,35.185,35.86,103381
2011-08-19,35.45,35.7,33.29,34.78,165257
2011-08-22,34.37,34.93,33.755,33.99,80075
2011-08-23,34.395,35.19,33.79,34.55,79959
2011-08-24,34.745,36.665,34.35,36.225,136809
2011-08-25,36.595,37.225,34.795,35.605,158594
2011-08-26,35.795,35.99,34.58,35.88,59949
2011-08-29,36.33,36.58,35.695,36.46,46972
2011-08-30,36.625,36.895,35.665,36.29,41424
2011-08-31,36.345,38.075,36.17,37.79,38888
2011-09-01,37.85,37.85,36.03,36.585,58308
2011-09-02,36.495,36.495,35.01,35.285,43694
2011-09-05,34.985,35.005,33.0,33.14,90362
2011-09-06,32.98,33.59,32.15,32.68,110383
2011-09-07,32.95,34.465,32.935,34.415,49888
2011-09-08,34.5,34.6,33.095,33.245,89446
2011-09-09,33.395,33.99,32.06,32.3,79084
2011-09-12,31.63,32.065,30.96,31.61,97556
2011-09-13,32.36,32.76,31.15,32.75,65105
2011-09-14,32.205,34.91,32.08,34.87,107259
2011-09-15,34.51,35.8,34.415,35.585,142574
2011-09-16,35.84,36.83,35.51,36.345,146435
2011-09-19,35.95,36.605,35.06,35.39,52613
2011-09-20,35.18,36.76,34.92,36.645,39201
2011-09-21,36.45,36.7,35.365,35.45,58207
2011-09-22,34.2,34.3,32.43,32.65,83522
2011-09-23,32.95,33.305,31.1,32.58,115659
2011-09-26,32.18,33.02,31.475,32.09,70883
2011-09-27,33.05,34.67,33.05,34.63,75128
2011-09-28,34.17,35.255,33.795,34.23,81989
2011-09-29,34.145,35.285,33.995,34.485,56034
2011-09-30,34.635,34.635,32.9,33.48,62597
2011-10-03,32.995,32.995,31.87,32.25,39642
2011-10-04,32.005,32.435,30.535,31.1,88742
2011-10-05,31.665,32.8,31.05,32.8,64763
2011-10-06,32.845,33.865,32.455,33.72,80229
2011-10-07,33.83,34.51,33.485,33.77,44333
2011-10-10,34.25,35.7,32.88,35.23,64346
2011-10-11,35.3,35.88,34.8,35.8,39304
2011-10-12,35.215,38.205,35.215,37.94,111972
2011-10-13,37.69,38.09,36.76,37.475,103698
2011-10-14,37.36,38.29,36.96,37.76,28111
2011-10-17,38.15,38.95,36.07,36.24,96073
2011-10-18,35.82,36.68,35.035,36.68,80245
2011-10-19,37.19,37.19,35.795,36.06,36776
2011-10-20,35.66,36.03,34.9,35.24,48757
2011-10-21,35.49,36.855,35.175,36.58,32969
2011-10-24,36.95,37.67,36.345,37.35,53174
2011-10-25,37.25,38.625,36.985,37.905,122744
2011-10-26,37.845,38.965,37.47,38.105,99237
2011-10-27,38.68,39.82,38.105,39.31,173664
2011-10-28,39.36,39.465,38.01,39.035,137710
2011-10-31,38.585,39.04,37.0,37.16,55017
2011-11-01,36.17,36.17,34.26,35.15,79732
2011-11-02,35.3,35.555,34.46,35.34,58683
2011-11-03,34.89,36.905,34.49,36.545,65161
2011-11-04,36.685,36.785,34.8,35.18,56612
2011-11-07,35.255,35.255,34.005,34.795,47328
2011-11-08,34.85,35.4,34.1,34.88,63158
2011-11-09,35.34,35.34,32.905,33.18,96109
2011-11-10,32.85,33.89,32.6,33.42,80208
2011-11-11,33.63,34.085,32.815,34.005,80311
2011-11-14,34.495,34.74,33.27,33.49,59670
2011-11-15,33.39,33.5,32.47,32.945,71854
2011-11-16,32.405,33.21,31.85,32.43,78778
2011-11-17,32.0,32.25,31.095,31.28,84223
2011-11-18,31.19,32.035,31.19,31.69,52905
2011-11-21,31.45,31.58,30.225,30.435,80140
2011-11-22,30.675,31.01,29.8,30.135,115452
2011-11-23,29.8,30.02,29.155,29.39,65653
2011-11-24,29.41,30.235,29.21,29.8,98952
2011-11-25,29.75,30.06,29.02,29.765,67938
2011-11-28,30.625,32.34,30.215,32.29,96239
2011-11-29,32.43,32.43,31.245,31.8,66066
2011-11-30,31.625,33.96,31.17,33.485,105716
2011-12-01,33.5,34.05,33.03,33.52,59140
2011-12-02,33.52,34.71,33.52,33.835,71533
2011-12-05,33.994,34.95,33.957,34.689,61704
2011-12-06,34.3,34.781,34.058,34.261,43470
2011-12-07,34.655,35.025,33.438,34.252,44639
2011-12-08,34.3,34.504,32.59,32.87,95521
2011-12-09,32.5,34.312,32.24,34.072,49100
2011-12-12,34.399,34.399,32.856,33.151,44396
2011-12-13,33.3,33.427,32.241,32.891,37398
2011-12-14,32.5,32.65,31.65,31.703,56025
2011-12-15,31.48,32.496,31.48,32.2,37309
2011-12-16,32.401,32.447,31.597,31.719,29464
2011-12-19,31.417,32.467,31.129,31.339,15511
2011-12-20,31.35,33.38,31.101,33.38,42925
2011-12-21,33.42,34.451,33.42,33.701,51796
2011-12-22,33.81,34.263,33.757,34.178,34024
2011-12-23,34.36,34.622,34.199,34.428,34325
2011-12-27,34.5,34.707,34.383,34.55,46749
2011-12-28,34.4,34.535,32.988,33.297,52484
2011-12-29,33.299,33.552,32.948,33.552,27802
2011-12-30,33.499,33.775,33.24,33.768,10215
2012-01-02,33.852,35.325,33.75,35.181,65140
2012-01-03,35.275,36.782,35.275,36.499,106034
2012-01-04,36.34,36.635,36.043,36.445,63221
2012-01-05,36.5,37.216,36.282,37.14,70436
2012-01-06,36.818,37.178,36.147,36.44,42947
2012-01-09,36.48,37.327,36.402,36.785,32500
2012-01-10,37.1,38.565,37.093,38.18,82108
2012-01-11,37.995,38.288,37.633,38.148,38218
2012-01-12,38.203,39.072,38.084,38.231,50747
2012-01-13,38.351,38.809,37.165,37.677,80302
2012-01-16,37.97,39.57,37.877,39.403,92611
2012-01-17,39.8,41.018,39.8,40.919,143222
2012-01-18,40.897,41.447,40.215,41.402,116874
2012-01-19,41.5,41.774,40.75,41.4,75466
2012-01-20,41.4,42.22,40.6,41.99,40898
2012-01-23,41.786,42.729,41.325,41.52,78674
2012-01-24,41.428,41.752,40.78,41.229,41041
2012-01-25,41.5,42.073,40.855,42.053,66790
2012-01-26,42.22,43.545,41.858,43.154,83975
2012-01-27,43.1,43.774,42.397,42.651,39814
2012-01-30,42.25,42.634,41.797,42.34,58524
2012-01-31,42.599,43.338,42.2,42.351,33211
2012-02-01,42.49,43.929,42.386,43.929,81713
2012-02-02,43.929,44.262,43.233,43.94,90224
